name,email,semester
James Butt,jbutt@gmail.com,2
Josephine Darakjy,josephine_darakjy@darakjy.org,6
Art Venere,art@venere.org,2
Lenna Paprocki,lpaprocki@hotmail.com,1
Donette Foller,donette.foller@cox.net,4
Simona Morasca,simona@morasca.com,5
Mitsue Tollner,mitsue_tollner@yahoo.com,7
Leota Dilliard,leota@hotmail.com,1
Sage Wieser,sage_wieser@cox.net,7
Kris Marrier,kris@gmail.com,4
Minna Amigon,minna_amigon@yahoo.com,7
Abel Maclead,amaclead@gmail.com,7
Kiley Caldarera,kiley.caldarera@aol.com,7
Graciela Ruta,gruta@cox.net,8
Cammy Albares,calbares@gmail.com,8
Mattie Poquette,mattie@aol.com,1
Meaghan Garufi,meaghan@hotmail.com,4
Gladys Rim,gladys.rim@rim.org,1
Yuki Whobrey,yuki_whobrey@aol.com,6
Fletcher Flosi,fletcher.flosi@yahoo.com,6
Bette Nicka,bette_nicka@cox.net,6
Veronika Inouye,vinouye@aol.com,7
Willard Kolmetz,willard@hotmail.com,3
Maryann Royster,mroyster@royster.com,5
Alisha Slusarski,alisha@slusarski.com,6
Allene Iturbide,allene_iturbide@cox.net,6
Chanel Caudy,chanel.caudy@caudy.org,8
Ezekiel Chui,ezekiel@chui.com,3
Willow Kusko,wkusko@yahoo.com,6
Bernardo Figeroa,bfigeroa@aol.com,2
Ammie Corrio,ammie@corrio.com,1
Francine Vocelka,francine_vocelka@vocelka.com,3
Ernie Stenseth,ernie_stenseth@aol.com,2
Albina Glick,albina@glick.com,5
Alishia Sergi,asergi@gmail.com,5
Solange Shinko,solange@shinko.com,6
Jose Stockham,jose@yahoo.com,8
Rozella Ostrosky,rozella.ostrosky@ostrosky.com,4
Valentine Gillian,valentine_gillian@gmail.com,2
Kati Rulapaugh,kati.rulapaugh@hotmail.com,2
Youlanda Schemmer,youlanda@aol.com,1
Dyan Oldroyd,doldroyd@aol.com,1
Roxane Campain,roxane@hotmail.com,7
Lavera Perin,lperin@perin.org,2
Erick Ferencz,erick.ferencz@aol.com,5
Fatima Saylors,fsaylors@saylors.org,6
Jina Briddick,jina_briddick@briddick.com,1
Kanisha Waycott,kanisha_waycott@yahoo.com,3
Emerson Bowley,emerson.bowley@bowley.org,6
Blair Malet,bmalet@yahoo.com,1
Brock Bolognia,bbolognia@yahoo.com,8
Lorrie Nestle,lnestle@hotmail.com,3
Sabra Uyetake,sabra@uyetake.org,5
Marjory Mastella,mmastella@mastella.com,2
Karl Klonowski,karl_klonowski@yahoo.com,2
Tonette Wenner,twenner@aol.com,3
Amber Monarrez,amber_monarrez@monarrez.org,1
Shenika Seewald,shenika@gmail.com,1
Delmy Ahle,delmy.ahle@hotmail.com,8
Deeanna Juhas,deeanna_juhas@gmail.com,6
Blondell Pugh,bpugh@aol.com,1
Jamal Vanausdal,jamal@vanausdal.org,2
Cecily Hollack,cecily@hollack.org,2
Carmelina Lindall,carmelina_lindall@lindall.com,1
Maurine Yglesias,maurine_yglesias@yglesias.com,3
Tawna Buvens,tawna@gmail.com,5
Penney Weight,penney_weight@aol.com,6
Elly Morocco,elly_morocco@gmail.com,4
Ilene Eroman,ilene.eroman@hotmail.com,7
Vallie Mondella,vmondella@mondella.com,2
Kallie Blackwood,kallie.blackwood@gmail.com,5
Johnetta Abdallah,johnetta_abdallah@aol.com,3
Bobbye Rhym,brhym@rhym.com,4
Micaela Rhymes,micaela_rhymes@gmail.com,2
Tamar Hoogland,tamar@hotmail.com,6
Moon Parlato,moon@yahoo.com,5
Laurel Reitler,laurel_reitler@reitler.com,4
Delisa Crupi,delisa.crupi@crupi.com,7
Viva Toelkes,viva.toelkes@gmail.com,2
Elza Lipke,elza@yahoo.com,7
Devorah Chickering,devorah@hotmail.com,5
Timothy Mulqueen,timothy_mulqueen@mulqueen.org,3
Arlette Honeywell,ahoneywell@honeywell.com,5
Dominque Dickerson,dominque.dickerson@dickerson.org,3
Lettie Isenhower,lettie_isenhower@yahoo.com,8
Myra Munns,mmunns@cox.net,5
Stephaine Barfield,stephaine@barfield.com,1
Lai Gato,lai.gato@gato.org,8
Stephen Emigh,stephen_emigh@hotmail.com,2
Tyra Shields,tshields@gmail.com,5
Tammara Wardrip,twardrip@cox.net,7
Cory Gibes,cory.gibes@gmail.com,8
Danica Bruschke,danica_bruschke@gmail.com,2
Wilda Giguere,wilda@cox.net,1
Elvera Benimadho,elvera.benimadho@cox.net,3
Carma Vanheusen,carma@cox.net,1
Malinda Hochard,malinda.hochard@yahoo.com,8
Natalie Fern,natalie.fern@hotmail.com,8
Lisha Centini,lisha@centini.org,7
Arlene Klusman,arlene_klusman@gmail.com,5
Alease Buemi,alease@buemi.com,3
Louisa Cronauer,louisa@cronauer.com,2
Angella Cetta,angella.cetta@hotmail.com,6
Cyndy Goldammer,cgoldammer@cox.net,8
Rosio Cork,rosio.cork@gmail.com,3
Celeste Korando,ckorando@hotmail.com,5
Twana Felger,twana.felger@felger.org,5
Estrella Samu,estrella@aol.com,4
Donte Kines,dkines@hotmail.com,2
Tiffiny Steffensmeier,tiffiny_steffensmeier@cox.net,2
Edna Miceli,emiceli@miceli.org,1
Sue Kownacki,sue@aol.com,1
Jesusa Shin,jshin@shin.com,6
Rolland Francescon,rolland@cox.net,1
Pamella Schmierer,pamella.schmierer@schmierer.org,2
Glory Kulzer,gkulzer@kulzer.org,1
Shawna Palaspas,shawna_palaspas@palaspas.org,4
Brandon Callaro,brandon_callaro@hotmail.com,4
Scarlet Cartan,scarlet.cartan@yahoo.com,2
Oretha Menter,oretha_menter@yahoo.com,4
Ty Smith,tsmith@aol.com,8
Xuan Rochin,xuan@gmail.com,2
Lindsey Dilello,lindsey.dilello@hotmail.com,1
Devora Perez,devora_perez@perez.org,3
Herman Demesa,hdemesa@cox.net,2
Rory Papasergi,rpapasergi@cox.net,6
Talia Riopelle,talia_riopelle@aol.com,2
Van Shire,van.shire@shire.com,1
Lucina Lary,lucina_lary@cox.net,1
Bok Isaacs,bok.isaacs@aol.com,5
Rolande Spickerman,rolande.spickerman@spickerman.com,1
Howard Paulas,hpaulas@gmail.com,8
Kimbery Madarang,kimbery_madarang@cox.net,4
Thurman Manno,thurman.manno@yahoo.com,6
Becky Mirafuentes,becky.mirafuentes@mirafuentes.com,6
Beatriz Corrington,beatriz@yahoo.com,5
Marti Maybury,marti.maybury@yahoo.com,3
Nieves Gotter,nieves_gotter@gmail.com,3
Leatha Hagele,lhagele@cox.net,2
Valentin Klimek,vklimek@klimek.org,6
Melissa Wiklund,melissa@cox.net,1
Sheridan Zane,sheridan.zane@zane.com,1
Bulah Padilla,bulah_padilla@hotmail.com,3
Audra Kohnert,audra@kohnert.com,4
Daren Weirather,dweirather@aol.com,2
Fernanda Jillson,fjillson@aol.com,2
Gearldine Gellinger,gearldine_gellinger@gellinger.com,2
Chau Kitzman,chau@gmail.com,4
Theola Frey,theola_frey@frey.com,1
Cheryl Haroldson,cheryl@haroldson.org,2
